property_id,address,city,state,zip_code,property_type,bedrooms,bathrooms,square_feet,lot_size,year_built,listing_price,sale_price,days_on_market,listing_date,sale_date,agent_id,agent_name,commission_rate,hoa_fee,parking_spaces,has_pool,has_garage,school_rating,crime_rate,walkability_score,property_tax,last_renovation_year,heating_type,cooling_type,flooring_type,view_type,neighborhood
P023,791 Pecan Lane,Union City,CA,94587,Single Family,4,2.5,2050,5000,1987,975000,950000,38,2024-01-16,2024-02-23,A106,Robert Martinez,0.025,0,2,No,Yes,7,2.7,66,11700,2017,Central,Central AC,Tile,Street,Decoto
P024,802 Hazel Drive,Newark,CA,94560,Condo,2,2,1150,0,2019,725000,710000,25,2024-02-14,2024-03-11,A104,David Kim,0.03,340,1,No,Yes,7,2.5,71,8700,2023,Radiant,Central AC,Hardwood,Park,Newpark
P025,913 Laurel Court,Milpitas,CA,95035,Single Family,3,2,1850,4200,1983,1075000,1050000,42,2024-01-20,2024-03-03,A115,Rachel Kim,0.025,0,2,No,Yes,8,2.2,74,12900,2019,Central,Central AC,Laminate,Mountain,Sunnyhills
P026,124 Dogwood Street,Santa Clara,CA,95050,Townhouse,2,2,1300,1400,2014,875000,855000,28,2024-02-06,2024-03-06,A102,Michael Chen,0.025,310,2,No,Yes,8,2.1,76,10500,2021,Forced Air,Central AC,Tile,Street,Central Park
P027,235 Cottonwood Ave,Cupertino,CA,95014,Single Family,4,3,2600,6500,1992,2450000,2375000,68,2023-12-20,2024-02-26,A105,Lisa Wang,0.02,0,3,Yes,Yes,10,1.1,80,29400,2020,Central,Central AC,Hardwood,Garden,Monta Vista
P028,346 Mesquite Road,Los Gatos,CA,95030,Single Family,5,4,3400,9000,1988,2975000,2875000,72,2023-11-25,2024-02-05,A116,Thomas Anderson,0.02,0,4,Yes,Yes,9,1.4,68,35700,2019,Central,Central AC,Hardwood,Mountain,Los Gatos Hills
P029,457 Buckeye Lane,Campbell,CA,95008,Condo,2,2,1100,0,2016,775000,760000,26,2024-02-10,2024-03-08,A109,Jennifer Wu,0.03,360,1,No,Yes,7,2.3,77,9300,2022,Radiant,Central AC,Laminate,Street,Downtown Campbell
P030,568 Aspen Drive,Saratoga,CA,95070,Single Family,4,3.5,2900,8500,1995,2650000,2575000,65,2024-01-02,2024-03-07,A116,Thomas Anderson,0.02,0,3,Yes,Yes,10,1.0,65,31800,2021,Central,Central AC,Hardwood,Valley,Saratoga Hills
P031,679 Mahogany Court,Milpitas,CA,95035,Single Family,3,2,1750,4000,1981,1025000,1000000,40,2024-01-24,2024-03-05,A115,Rachel Kim,0.025,0,2,No,Yes,7,2.4,73,12300,2018,Central,Central AC,Carpet,Street,Berryessa
P032,780 Teak Street,Foster City,CA,94404,Condo,2,2,1200,0,2012,925000,900000,32,2024-02-04,2024-03-08,A107,Amanda Lee,0.03,395,1,Yes,Yes,8,1.7,81,11100,2020,Radiant,Central AC,Hardwood,Lagoon,Mariner's Island
P033,891 Bamboo Ave,Redwood City,CA,94061,Townhouse,3,2.5,1700,2200,2015,1125000,1095000,35,2024-01-30,2024-03-06,A117,Brian Lee,0.025,290,2,No,Yes,8,2.0,83,13500,2022,Forced Air,Central AC,Laminate,Park,Redwood Shores
P034,902 Cedar Ave,Menlo Park,CA,94025,Single Family,4,3,2500,7000,1985,2575000,2500000,58,2023-12-18,2024-02-14,A105,Lisa Wang,0.02,0,3,Yes,Yes,10,1.3,85,30900,2020,Central,Central AC,Hardwood,Garden,Allied Arts
P035,113 Oak Ridge,Atherton,CA,94027,Single Family,6,5,4500,12000,2000,4850000,4675000,85,2023-10-15,2024-01-08,A118,Victoria Chen,0.015,0,5,Yes,Yes,10,0.8,70,58200,2021,Central,Central AC,Hardwood,Garden,West Atherton
P036,224 Pine Valley,Portola Valley,CA,94028,Single Family,5,4.5,3800,10000,1993,3675000,3550000,78,2023-11-10,2024-01-27,A118,Victoria Chen,0.015,0,4,Yes,Yes,10,0.9,62,44100,2019,Central,Central AC,Hardwood,Mountain,Ladera
P037,335 Maple Heights,Woodside,CA,94062,Single Family,5,4,3600,11000,1990,3450000,3350000,70,2023-12-01,2024-02-09,A116,Thomas Anderson,0.02,0,4,Yes,Yes,9,1.0,58,40200,2018,Central,Central AC,Hardwood,Forest,Woodside Highlands
P038,446 Elm Terrace,Belmont,CA,94002,Single Family,3,2,1850,4500,1979,1375000,1345000,46,2024-01-14,2024-03-01,A117,Brian Lee,0.025,0,2,No,Yes,8,1.8,79,16500,2019,Central,Central AC,Tile,Bay,Ralston
P039,557 Birch Hill,San Carlos,CA,94070,Single Family,4,2.5,2150,5500,1986,1575000,1535000,52,2024-01-06,2024-02-27,A107,Amanda Lee,0.025,0,3,Yes,Yes,9,1.6,80,18900,2020,Central,Central AC,Hardwood,Mountain,White Oaks
P040,668 Willow Creek,Burlingame,CA,94010,Single Family,3,2,1900,4000,1977,1725000,1685000,48,2024-01-18,2024-03-07,A119,Patricia Wong,0.025,0,2,No,Yes,9,1.5,88,20700,2021,Central,Central AC,Hardwood,Bay,Burlingame Hills
