property_id,address,city,state,price,bedrooms,bathrooms,sqft,lot_size,year_built,property_type,listing_status,days_on_market,agent_name,sale_date
31,156 Apple Court,Kansas City,MO,340000,3,2,1650,5800,2006,Single Family,Active,16,Kayla Thomas,
32,267 Pear Street,Milwaukee,WI,285000,3,1,1400,4200,1989,Single Family,Sold,65,Dylan Jackson,2024-01-12
33,378 Plum Avenue,Albuquerque,NM,310000,4,2,1750,7400,2001,Single Family,Active,29,Courtney White,
34,489 Peach Drive,Tucson,AZ,275000,3,2,1500,5000,2012,Single Family,Pending,34,Derek Harris,
35,591 Apricot Lane,Oklahoma City,OK,265000,3,2,1350,4600,2009,Single Family,Sold,47,Lauren Clark,2024-02-14
36,612 Mango Road,Louisville,KY,315000,4,2,1800,6000,1996,Single Family,Active,21,Brandon Lewis,
37,723 Coconut Court,Memphis,TN,285000,3,2,1550,5200,2003,Single Family,Sold,53,Jessica Robinson,2024-01-08
38,834 Banana Street,Baltimore,MD,425000,3,2,1650,3800,2000,Townhouse,Pending,39,Austin Walker,
39,945 Kiwi Avenue,Pittsburgh,PA,345000,4,2,1900,4400,2007,Single Family,Active,17,Morgan Hall,
40,156 Melon Drive,Cincinnati,OH,290000,3,2,1450,5600,2011,Single Family,Sold,46,Cameron Young,2024-02-09
41,267 Berry Lane,Virginia Beach,VA,365000,3,2,1600,4800,2005,Single Family,Active,24,Alexis King,
42,378 Lime Road,Riverside,CA,495000,4,2,1850,5400,2014,Single Family,Pending,30,Jordan Wright,
43,489 Tangerine Court,Boise,ID,385000,3,2,1550,6200,2016,Single Family,Sold,37,Taylor Scott,2024-01-27
44,591 Avocado Street,Reno,NV,425000,4,3,2050,5800,2010,Single Family,Active,13,Morgan Green,
45,612 Papaya Avenue,Omaha,NE,275000,3,2,1400,4400,2008,Single Family,Sold,56,Casey Adams,2024-02-01
46,723 Guava Drive,Colorado Springs,CO,445000,4,2,1900,6600,2013,Single Family,Active,20,Jamie Nelson,
47,834 Passion Lane,Richmond,VA,355000,3,2,1650,5000,2002,Single Family,Pending,43,Drew Hill,
48,612 Starfruit Road,Hartford,CT,395000,4,2,1750,4200,1998,Single Family,Sold,49,Pat Moore,2024-01-16
49,945 Dragon Court,Providence,RI,415000,3,2,1600,3600,1994,Townhouse,Active,25,Alex Martin,
50,156 Lychee Street,Buffalo,NY,245000,3,2,1450,5800,1991,Single Family,Sold,62,Chris Thomas,2024-02-11
